01. CreateOccupationLabelNodes_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 
02. CreateOccupationPrefLabelNodes_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 
03. CreateSkillLabelNodes_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 
04. CleanUpEscoData_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 
81. CreateOccupationLabelContentItems30400_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
82. CreateOccupationLabelContentItems30800_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
83. CreateOccupationLabelContentItems31200_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
84. CreateOccupationLabelContentItems31600_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
85. CreateOccupationLabelContentItems32000_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
86. CreateOccupationLabelContentItems32400_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
87. CreateOccupationLabelContentItems32800_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
88. CreateSkillContentItems0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
89. CreateSkillContentItems400_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
90. CreateSkillContentItems800_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
91. CreateSkillContentItems1200_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
92. CreateSkillContentItems1600_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
93. CreateSkillContentItems2000_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
94. CreateSkillContentItems2400_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
95. CreateSkillContentItems2800_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
96. CreateSkillContentItems3200_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
97. CreateSkillContentItems3600_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
98. CreateSkillContentItems4000_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
99. CreateSkillContentItems4400_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
100. CreateSkillContentItems4800_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
101. CreateSkillContentItems5200_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
102. CreateSkillContentItems5600_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
103. CreateSkillContentItems6000_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
104. CreateSkillContentItems6400_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
105. CreateSkillContentItems6800_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
106. CreateSkillContentItems7200_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
107. CreateSkillContentItems7600_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
108. CreateSkillContentItems8000_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
109. CreateSkillContentItems8400_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
110. CreateSkillContentItems8800_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
111. CreateSkillContentItems9200_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
112. CreateSkillContentItems9600_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
113. CreateSkillContentItems10000_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
114. CreateSkillContentItems10400_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
115. CreateSkillContentItems10800_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
116. CreateSkillContentItems11200_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
117. CreateSkillContentItems11600_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
118. CreateSkillContentItems12000_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
119. CreateSkillContentItems12400_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
120. CreateSkillContentItems12800_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
121. CreateSkillContentItems13200_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
122. CreateOccupationContentItems0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
123. SharedContent_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 
124. QCFLevels0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 10
125. ApprenticeshipStandardRoutes0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 18
126. ApprenticeshipStandards0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
127. ApprenticeshipStandards1_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 181
128. RequirementsPrefixes0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 6
129. ApprenticeshipLinks0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 3
130. ApprenticeshipRequirements0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 9
131. CollegeLinks0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 5
132. CollegeRequirements0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 5
133. UniversityLinks0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 6
134. UniversityRequirements0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 8
135. DayToDayTasks0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 137
136. OtherRequirements0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 7
137. Registrations0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 3
138. Restrictions0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 14
139. SocCodes0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 370
140. ONetOccupationalCodes0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 400
141. ONetOccupationalCodes1_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 110
142. WorkingEnvironments0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 14
143. WorkingLocations0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 17
144. WorkingUniforms0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 2
145. ApprenticeshipRoutes0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 18
146. CollegeRoutes0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 13
147. UniversityRoutes0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 7
148. DirectRoutes0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 13
149. OtherRoutes0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 5
150. VolunteeringRoutes0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 9
151. WorkRoutes0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 10
152. JobProfiles0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 20
153. JobCategories0_51839062-1185-4c10-833b-4dabf2d60232.recipe.json: 26
# Totals
    OccupationLabels: 33036
Skills: 13485
Occupations: 20
QCFLevels: 10
ApprenticeshipStandardRoutes: 18
ApprenticeshipStandards: 581
RequirementsPrefixes: 6
ApprenticeshipLinks: 3
ApprenticeshipRequirements: 9
CollegeLinks: 5
CollegeRequirements: 5
UniversityLinks: 6
UniversityRequirements: 8
DayToDayTasks: 137
OtherRequirements: 7
Registrations: 3
Restrictions: 14
SocCodes: 370
ONetOccupationalCodes: 510
WorkingEnvironments: 14
WorkingLocations: 17
WorkingUniforms: 2
ApprenticeshipRoutes: 18
CollegeRoutes: 13
UniversityRoutes: 7
DirectRoutes: 13
OtherRoutes: 5
VolunteeringRoutes: 9
WorkRoutes: 10
JobProfiles: 20
JobCategories: 26
