"Major","Sub","Minor","Unit","Title"
,,,"1259","Managers and proprietors in other services n.e.c."
,,,,
"2",,,,"PROFESSIONAL OCCUPATIONS"
,,,,
,"21",,,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS"
,,,,
,,"211",,"Natural and Social Science Professionals"
,,,,
,,,"2111","Chemical scientists"
,,,"2112","Biological scientists and biochemists"
,,,"2113","Physical scientists"
,,,"2114","Social and humanities scientists"
,,,"2119","Natural and social science professionals n.e.c."
,,,,
,,"212",,"Engineering Professionals"
,,,,
,,,"2121","Civil engineers"
,,,"2122","Mechanical engineers"
,,,"2123","Electrical engineers"
,,,"2124","Electronics engineers"
,,,"2126","Design and development engineers"
,,,"2127","Production and process engineers"
,,,"2129","Engineering professionals n.e.c."
,,,,
,,"213",,"Information Technology and Telecommunications Professionals"
,,,,
,,,"2133","IT specialist managers"
,,,"2134","IT project and programme managers"
,,,"2135","IT business analysts, architects and systems designers"
,,,"2136","Programmers and software development professionals"
,,,"2137","Web design and development professionals"
,,,"2139","Information technology and telecommunications professionals n.e.c."
,,,,
,,"214",,"Conservation and Environment Professionals"
,,,,
,,,"2141","Conservation professionals"
,,,"2142","Environment professionals"
,,,,
,,"215",,"Research and Development Managers "
,,,,
,,,"2150","Research and development managers"
,,,,
,"22",,,"HEALTH PROFESSIONALS"
,,,,
,,"221",,"Health Professionals"
,,,,
,,,"2211","Medical practitioners"
,,,"2212","Psychologists"
,,,"2213","Pharmacists"
,,,"2214","Ophthalmic opticians"
,,,"2215","Dental practitioners"
,,,"2216","Veterinarians"
,,,"2217","Medical radiographers"
,,,"2218","Podiatrists"
,,,"2219","Health professionals n.e.c."
,,,,
,,"222",,"Therapy Professionals"
,,,,
,,,"2221","Physiotherapists"
,,,"2222","Occupational therapists"
,,,"2223","Speech and language therapists"
,,,"2229","Therapy professionals n.e.c."
,,,,
,,"223",,"Nursing and Midwifery Professionals"
,,,"2231","Nurses"
,,,"2232","Midwives"
,,,,
,"23",,,"TEACHING AND EDUCATIONAL PROFESSIONALS"
,,,,
,,"231",,"Teaching and Educational Professionals"
,,,,
,,,"2311","Higher education teaching professionals"
,,,"2312","Further education teaching professionals"
,,,"2314","Secondary education teaching professionals"
,,,"2315","Primary and nursery education teaching professionals"
,,,"2316","Special needs education teaching professionals"
,,,"2317","Senior professionals of educational establishments"
,,,"2318","Education advisers and school inspectors"
,,,"2319","Teaching and other educational professionals n.e.c."
,,,,
,"24",,,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS"
,,,,
,,"241",,"Legal Professionals"
,,,,
,,,"2412","Barristers and judges"
,,,"2413","Solicitors"
,,,"2419","Legal professionals n.e.c."
,,,,
,,"242",,"Business, Research and Administrative Professionals"
,,,,
,,,"2421","Chartered and certified accountants"
,,,"2423","Management consultants and business analysts"
,,,"2424","Business and financial project management professionals"
,,,"2425","Actuaries, economists and statisticians"
,,,"2426","Business and related research professionals"
,,,"2429","Business, research and administrative professionals n.e.c."
,,,,
,,"243",,"Architects, Town Planners and Surveyors"
,,,,
,,,"2431","Architects"
,,,"2432","Town planning officers"
,,,"2433","Quantity surveyors"
,,,"2434","Chartered surveyors"
,,,"2435","Chartered architectural technologists"
,,,"2436","Construction project managers and related professionals"
,,,,
,,"244",,"Welfare Professionals"
,,,,
,,,"2442","Social workers"
,,,"2443","Probation officers"
,,,"2444","Clergy"
,,,"2449","Welfare professionals n.e.c."
,,,,
,,"245",,"Librarians and Related Professionals"
,,,,
,,,"2451","Librarians"
,,,"2452","Archivists and curators"
,,,,
,,"246",,"Quality and Regulatory Professionals"
,,,,
,,,"2461","Quality control and planning engineers"
,,,"2462","Quality assurance and regulatory professionals"
,,,"2463","Environmental health professionals"
,,,,
,,"247",,"Media Professionals"
,,,,
,,,"2471","Journalists, newspaper and periodical editors"
,,,"2472","Public relations professionals"
,,,"2473","Advertising accounts managers and creative directors"
,,,,
"3",,,,"ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS"
,,,,
,"31",,,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS"
,,,,
,,"311",,"Science, Engineering and Production Technicians"
,,,,
,,,"3111","Laboratory technicians"
,,,"3112","Electrical and electronics technicians"
,,,"3113","Engineering technicians"
,,,"3114","Building and civil engineering technicians"
,,,"3115","Quality assurance technicians"
,,,"3116","Planning, process and production technicians"
,,,"3119","Science, engineering and production technicians n.e.c."
,,,,
,,"312",,"Draughtspersons and Related Architectural Technicians"
,,,,
,,,"3121","Architectural and town planning technicians"
,,,"3122","Draughtspersons"
,,,,
,,"313",,"Information Technology Technicians"
,,,,
,,,"3131","IT operations technicians"
,,,"3132","IT user support technicians"
,,,,
,"32",,,"HEALTH AND SOCIAL CARE ASSOCIATE PROFESSIONALS"
,,,,
,,"321",,"Health Associate Professionals"
,,,,
,,,"3213","Paramedics"
,,,"3216","Dispensing opticians"
,,,"3217","Pharmaceutical technicians"
,,,"3218","Medical and dental technicians"
,,,"3219","Health associate professionals n.e.c."
,,,,
,,"323",,"Welfare and Housing Associate Professionals"
,,,,
,,,"3231","Youth and community workers"
,,,"3233","Child and early years officers"
,,,"3234","Housing officers"
,,,"3235","Counsellors"
,,,"3239","Welfare and housing associate professionals n.e.c."
,,,,
,"33",,,"PROTECTIVE SERVICE OCCUPATIONS"
,,,,
,,"331",,"Protective Service Occupations"
,,,,
,,,"3311","NCOs and other ranks"
,,,"3312","Police officers (sergeant and below)"
,,,"3313","Fire service officers (watch manager and below)"
,,,"3314","Prison service officers (below principal officer)"
,,,"3315","Police community support officers"
,,,"3319","Protective service associate professionals n.e.c."
,,,,
,"34",,,"CULTURE, MEDIA AND SPORTS OCCUPATIONS"
,,,,
,,"341",,"Artistic, Literary and Media Occupations"
,,,,
,,,"3411","Artists"
,,,"3412","Authors, writers and translators"
,,,"3413","Actors, entertainers and presenters"
,,,"3414","Dancers and choreographers"
,,,"3415","Musicians"
,,,"3416","Arts officers, producers and directors"
,,,"3417","Photographers, audio-visual and broadcasting equipment operators"
,,,,
,,"342",,"Design Occupations"
,,,,
,,,"3421","Graphic designers"
,,,"3422","Product, clothing and related designers"
,,,,
,,"344",,"Sports and Fitness Occupations"
,,,,
,,,"3441","Sports players"
,,,"3442","Sports coaches, instructors and officials"
,,,"3443","Fitness instructors"
,,,,
,"35",,,"BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALS"
,,,,
,,"351",,"Transport Associate Professionals"
,,,,
,,,"3511","Air traffic controllers"
,,,"3512","Aircraft pilots and flight engineers"
,,,"3513","Ship and hovercraft officers"
,,,,
,,"352",,"Legal Associate Professionals"
,,,,
,,,"3520","Legal associate professionals"
,,,,
,,"353",,"Business, Finance and Related Associate Professionals"
,,,,
,,,"3531","Estimators, valuers and assessors"
,,,"3532","Brokers"
,,,"3533","Insurance underwriters"
,,,"3534","Finance and investment analysts and advisers"
,,,"3535","Taxation experts"
,,,"3536","Importers and exporters"
,,,"3537","Financial and accounting technicians"
,,,"3538","Financial accounts managers"
,,,"3539","Business and related associate professionals n.e.c."
,,,,
,,"354",,"Sales, Marketing and Related Associate Professionals"
,,,,
,,,"3541","Buyers and procurement officers"
,,,"3542","Business sales executives"
,,,"3543","Marketing associate professionals"
,,,"3544","Estate agents and auctioneers"
,,,"3545","Sales accounts and business development managers"
,,,"3546","Conference and exhibition managers and organisers"
,,,,
,,"355",,"Conservation and Environmental Associate Professionals"
,,,,
,,,"3550","Conservation and environmental associate professionals"
,,,,
,,"356",,"Public Services and Other Associate Professionals"
,,,,
,,,"3561","Public services associate professionals"
,,,"3562","Human resources and industrial relations officers"
,,,"3563","Vocational and industrial trainers and instructors"
,,,"3564","Careers advisers and vocational guidance specialists"
,,,"3565","Inspectors of standards and regulations"
,,,"3567","Health and safety officers"
,,,,
"4",,,,"ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS"
,,,,
,"41",,,"ADMINISTRATIVE OCCUPATIONS"
,,,,
,,"411",,"Administrative Occupations: Government and Related Organisations"
,,,,
,,,"4112","National government administrative occupations"
,,,"4113","Local government administrative occupations"
,,,"4114","Officers of non-governmental organisations"
,,,,
,,"412",,"Administrative Occupations: Finance"
,,,,
,,,"4121","Credit controllers"
,,,"4122","Book-keepers, payroll managers and wages clerks"
,,,"4123","Bank and post office clerks"
,,,"4124","Finance officers"
,,,"4129","Financial administrative occupations n.e.c."
,,,,
,,"413",,"Administrative Occupations: Records"
,,,,
,,,"4131","Records clerks and assistants"
,,,"4132","Pensions and insurance clerks and assistants"
,,,"4133","Stock control clerks and assistants"
,,,"4134","Transport and distribution clerks and assistants"
,,,"4135","Library clerks and assistants"
,,,"4138","Human resources administrative occupations"
,,,,
,,"415",,"Other Administrative Occupations"
,,,,
,,,"4151","Sales administrators"
,,,"4159","Other administrative occupations n.e.c."
,,,,
,,"416",,"Administrative Occupations: Office Managers and Supervisors"
,,,,
,,,"4161","Office managers"
,,,"4162","Office supervisors"
,,,,
,"42",,,"SECRETARIAL AND RELATED OCCUPATIONS"
,,,,
,,"421",,"Secretarial and Related Occupations"
,,,,
,,,"4211","Medical secretaries"
,,,"4212","Legal secretaries"
,,,"4213","School secretaries"
,,,"4214","Company secretaries"
,,,"4215","Personal assistants and other secretaries"
,,,"4216","Receptionists"
,,,"4217","Typists and related keyboard occupations"
,,,,
"5",,,,"SKILLED TRADES OCCUPATIONS"
,,,,
,"51",,,"SKILLED AGRICULTURAL AND RELATED TRADES"
,,,,
,,"511",,"Agricultural and Related Trades"
,,,,
,,,"5111","Farmers"
,,,"5112","Horticultural trades"
,,,"5113","Gardeners and landscape gardeners"
,,,"5114","Groundsmen and greenkeepers"
,,,"5119","Agricultural and fishing trades n.e.c."
,,,,
,"52",,,"SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADES"
,,,,
,,"521",,"Metal Forming, Welding and Related Trades"
,,,,
,,,"5211","Smiths and forge workers"
,,,"5212","Moulders, core makers and die casters"
,,,"5213","Sheet metal workers"
,,,"5214","Metal plate workers, and riveters"
,,,"5215","Welding trades"
,,,"5216","Pipe fitters"
,,,,
,,"522",,"Metal Machining, Fitting and Instrument Making Trades"
,,,,
,,,"5221","Metal machining setters and setter-operators"
,,,"5222","Tool makers, tool fitters and markers-out"
,,,"5223","Metal working production and maintenance fitters"
,,,"5224","Precision instrument makers and repairers"
,,,"5225","Air-conditioning and refrigeration engineers"
,,,,
,,"523",,"Vehicle Trades"
,,,,
,,,"5231","Vehicle technicians, mechanics and electricians"
,,,"5232","Vehicle body builders and repairers "
,,,"5234","Vehicle paint technicians"
,,,"5235","Aircraft maintenance and related trades"
,,,"5236","Boat and ship builders and repairers"
,,,"5237","Rail and rolling stock builders and repairers"
,,,,
,,"524",,"Electrical and Electronic Trades"
,,,,
,,,"5241","Electricians and electrical fitters"
,,,"5242","Telecommunications engineers"
,,,"5244","TV, video and audio engineers"
,,,"5245","IT engineers"
,,,"5249","Electrical and electronic trades n.e.c."
,,,,
,,,,
,,"525",,"Skilled Metal, Electrical and Electronic Trades Supervisors"
,,,,
,,,"5250","Skilled metal, electrical and electronic trades supervisors"
,,,,
,"53",,,"SKILLED CONSTRUCTION AND BUILDING TRADES"
,,,,
,,"531",,"Construction and Building Trades"
,,,,
,,,"5311","Steel erectors"
,,,"5312","Bricklayers and masons"
,,,"5313","Roofers, roof tilers and slaters"
,,,"5314","Plumbers and heating and ventilating engineers"
,,,"5315","Carpenters and joiners"
,,,"5316","Glaziers, window fabricators and fitters"
,,,"5319","Construction and building trades n.e.c."
,,,,
,,"532",,"Building Finishing Trades"
,,,,
,,,"5321","Plasterers"
,,,"5322","Floorers and wall tilers"
,,,"5323","Painters and decorators"
,,,,
,,"533",,"Construction and Building Trades Supervisors"
,,,,
,,,"5330","Construction and building trades supervisors"
,,,,
,"54",,,"TEXTILES, PRINTING AND OTHER SKILLED TRADES"
,,,,
,,"541",,"Textiles and Garments Trades"
,,,,
,,,"5411","Weavers and knitters"
,,,"5412","Upholsterers"
,,,"5413","Footwear and leather working trades"
,,,"5414","Tailors and dressmakers"
,,,"5419","Textiles, garments and related trades n.e.c."
,,,,
,,"542",,"Printing Trades"
,,,,
,,,"5421","Pre-press technicians"
,,,"5422","Printers"
,,,"5423","Print finishing and binding workers"
,,,,
,,"543",,"Food Preparation and Hospitality Trades"
,,,,
,,,"5431","Butchers"
,,,"5432","Bakers and flour confectioners"
,,,"5433","Fishmongers and poultry dressers"
,,,"5434","Chefs"
,,,"5435","Cooks"
,,,"5436","Catering and bar managers"
,,,,
,,"544",,"Other Skilled Trades"
,,,,
,,,"5441","Glass and ceramics makers, decorators and finishers"
,,,"5442","Furniture makers and other craft woodworkers"
,,,"5443","Florists"
,,,"5449","Other skilled trades n.e.c."
,,,,
"6",,,,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS"
,,,,
,"61",,,"CARING PERSONAL SERVICE OCCUPATIONS"
,,,,
,,"612",,"Childcare and Related Personal Services"
,,,,
,,,"6121","Nursery nurses and assistants"
,,,"6122","Childminders and related occupations"
,,,"6123","Playworkers"
,,,"6125","Teaching assistants"
,,,"6126","Educational support assistants"
,,,,
,,"613",,"Animal Care and Control Services"
,,,,
,,,"6131","Veterinary nurses"
,,,"6132","Pest control officers"
,,,"6139","Animal care services occupations n.e.c."
,,,,
,,"614",,"Caring Personal Services"
,,,,
,,,"6141","Nursing auxiliaries and assistants"
,,,"6142","Ambulance staff (excluding paramedics)"
,,,"6143","Dental nurses"
,,,"6144","Houseparents and residential wardens"
,,,"6145","Care workers and home carers"
,,,"6146","Senior care workers"
,,,"6147","Care escorts"
,,,"6148","Undertakers, mortuary and crematorium assistants"
,,,,
,"62",,,"LEISURE, TRAVEL AND RELATED PERSONAL SERVICE OCCUPATIONS"
,,,,
,,"621",,"Leisure and Travel Services"
,,,,
,,,"6211","Sports and leisure assistants"
,,,"6212","Travel agents"
,,,"6214","Air travel assistants"
,,,"6215","Rail travel assistants"
,,,"6219","Leisure and travel service occupations n.e.c."
,,,,
,,"622",,"Hairdressers and Related Services"
,,,,
,,,"6221","Hairdressers and barbers"
,,,"6222","Beauticians and related occupations"
,,,,
,,"623",,"Housekeeping and Related Services"
,,,,
,,,"6231","Housekeepers and related occupations"
,,,"6232","Caretakers"
,,,,
,,"624",,"Cleaning and Housekeeping Managers and Supervisors"
,,,,
,,,"6240","Cleaning and housekeeping managers and supervisors"
,,,,
"7",,,,"SALES AND CUSTOMER SERVICE OCCUPATIONS"
,,,,
,"71",,,"SALES OCCUPATIONS"
,,,,
,,"711",,"Sales Assistants and Retail Cashiers"
,,,,
,,,"7111","Sales and retail assistants"
,,,"7112","Retail cashiers and check-out operators"
,,,"7113","Telephone salespersons"
,,,"7114","Pharmacy and other dispensing assistants"
,,,"7115","Vehicle and parts salespersons and advisers"
,,,,
,,"712",,"Sales Related Occupations"
,,,,
,,,"7121","Collector salespersons and credit agents"
,,,"7122","Debt, rent and other cash collectors"
,,,"7123","Roundspersons and van salespersons"
,,,"7124","Market and street traders and assistants"
,,,"7125","Merchandisers and window dressers"
,,,"7129","Sales related occupations n.e.c."
,,,,
,,"713",,"Sales Supervisors"
,,,,
,,,"7130","Sales supervisors"
,,,,
,"72",,,"CUSTOMER SERVICE OCCUPATIONS"
,,,,
,,"721",,"Customer Service Occupations"
,,,,
,,,"7211","Call and contact centre occupations"
,,,"7213","Telephonists"
,,,"7214","Communication operators"
,,,"7215","Market research interviewers"
,,,"7219","Customer service occupations n.e.c."
,,,,
,,"722",,"Customer Service Managers and Supervisors"
,,,,
,,,"7220","Customer service managers and supervisors"
,,,,
"8",,,,"PROCESS, PLANT AND MACHINE OPERATIVES"
,,,,
,"81",,,"PROCESS, PLANT AND MACHINE OPERATIVES"
,,,,
,,"811",,"Process Operatives"
,,,,
,,,"8111","Food, drink and tobacco process operatives"
,,,"8112","Glass and ceramics process operatives"
,,,"8113","Textile process operatives"
,,,"8114","Chemical and related process operatives"
,,,"8115","Rubber process operatives"
,,,"8116","Plastics process operatives"
,,,"8117","Metal making and treating process operatives"
,,,"8118","Electroplaters"
,,,"8119","Process operatives n.e.c."
,,,,
,,"812",,"Plant and Machine Operatives"
,,,,
,,,"8121","Paper and wood machine operatives"
,,,"8122","Coal mine operatives"
,,,"8123","Quarry workers and related operatives"
,,,"8124","Energy plant operatives"
,,,"8125","Metal working machine operatives"
,,,"8126","Water and sewerage plant operatives"
,,,"8127","Printing machine assistants"
,,,"8129","Plant and machine operatives n.e.c."
,,,,
,,"813",,"Assemblers and Routine Operatives"
,,,,
,,,"8131","Assemblers (electrical and electronic products)"
,,,"8132","Assemblers (vehicles and metal goods)"
,,,"8133","Routine inspectors and testers"
,,,"8134","Weighers, graders and sorters"
,,,"8135","Tyre, exhaust and windscreen fitters"
,,,"8137","Sewing machinists"
,,,"8139","Assemblers and routine operatives n.e.c."
,,,,
,,"814",,"Construction Operatives"
,,,,
,,,"8141","Scaffolders, stagers and riggers"
,,,"8142","Road construction operatives"
,,,"8143","Rail construction and maintenance operatives"
,,,"8149","Construction operatives n.e.c."
,,,,
,"82",,,"TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVES"
,,,,
,,"821",,"Road Transport Drivers"
,,,,
,,,"8211","Large goods vehicle drivers"
,,,"8212","Van drivers"
,,,"8213","Bus and coach drivers"
,,,"8214","Taxi and cab drivers and chauffeurs"
,,,"8215","Driving instructors"
,,,,
,,,,
,,"822",,"Mobile Machine Drivers and Operatives"
,,,,
,,,"8221","Crane drivers"
,,,"8222","Fork-lift truck drivers"
,,,"8223","Agricultural machinery drivers"
,,,"8229","Mobile machine drivers and operatives n.e.c."
,,,,
,,"823",,"Other Drivers and Transport Operatives"
,,,,
,,,"8231","Train and tram drivers"
,,,"8232","Marine and waterways transport operatives"
,,,"8233","Air transport operatives"
,,,"8234","Rail transport operatives"
,,,"8239","Other drivers and transport operatives n.e.c."
,,,,
"9",,,,"ELEMENTARY OCCUPATIONS"
,,,,
,"91",,,"ELEMENTARY TRADES AND RELATED OCCUPATIONS"
,,,,
,,"911",,"Elementary Agricultural Occupations"
,,,,
,,,"9111","Farm workers"
,,,"9112","Forestry workers"
,,,"9119","Fishing and other elementary agriculture occupations n.e.c."
,,,,
,,"912",,"Elementary Construction Occupations"
,,,,
,,,"9120","Elementary construction occupations"
,,,,
,,"913",,"Elementary Process Plant Occupations"
,,,,
,,,"9132","Industrial cleaning process occupations"
,,,"9134","Packers, bottlers, canners and fillers"
,,,"9139","Elementary process plant occupations n.e.c."
,,,,
,"92",,,"ELEMENTARY ADMINISTRATION AND SERVICE OCCUPATIONS"
,,,,
,,"921",,"Elementary Administration Occupations"
,,,,
,,,"9211","Postal workers, mail sorters, messengers and couriers"
,,,"9219","Elementary administration occupations n.e.c."
,,,,
,,"923",,"Elementary Cleaning Occupations"
,,,,
,,,"9231","Window cleaners"
,,,"9232","Street cleaners"
,,,"9233","Cleaners and domestics"
,,,"9234","Launderers, dry cleaners and pressers"
,,,"9235","Refuse and salvage occupations"
,,,"9236","Vehicle valeters and cleaners"
,,,"9239","Elementary cleaning occupations n.e.c."
,,,,
,,"924",,"Elementary Security Occupations"
,,,,
,,,"9241","Security guards and related occupations"
,,,"9242","Parking and civil enforcement occupations"
,,,"9244","School midday and crossing patrol occupations"
,,,"9249","Elementary security occupations n.e.c."
,,,,
,,"925",,"Elementary Sales Occupations"
,,,,
,,,"9251","Shelf fillers"
,,,"9259","Elementary sales occupations n.e.c."
,,,,
,,,,
,,"926",,"Elementary Storage Occupations"
,,,,
,,,"9260","Elementary storage occupations"
,,,,
,,"927",,"Other Elementary Services Occupations"
,,,,
,,,"9271","Hospital porters"
,,,"9272","Kitchen and catering assistants"
,,,"9273","Waiters and waitresses"
,,,"9274","Bar staff"
,,,"9275","Leisure and theme park attendants"
,,,"9279","Other elementary services occupations n.e.c."
